,phone,price
0,    Galaxy A32 4G  128   6 ,11491000
1,    Galaxy S23 Ultra 5G  512   12 ,57291000
2,    Galaxy A14 4G  128   6 ,6899000
3,    Galaxy A04 4g  32   3  ,3599000
4,    Galaxy S23 Ultra 5G  256   12 ,49291000
5,    Galaxy A34 5G  128   6 ,11691000
6,    Galaxy S21 Ultra 5G  256   12 ,39181000
7,    Galaxy A04 4g  64   4  ,4141000
8,    Galaxy S21 FE 5G  256   8 ,17951000
9,    Galaxy A04e 4g  32   3  ,3351000
10,    Galaxy A54 5G  128   8 ,14385000
11,    Galaxy A14 4G  64   4 ,5365000
12,    Galaxy A53 5G  128   8  ,14191000
13,    Galaxy S22 Ultra 5G ()  512   12 ,45991000
14,    Galaxy A13 4G  64   4 ,7499000
15,    Galaxy A03 Core 4G  32   2 ,3099000
16,    Galaxy F13 4g  64   4  ,5291000
17,    Galaxy A53 5G  128   6  ,13091000
18,    Galaxy S20 FE 5G  128   8 ,16999000
19,    Galaxy A04e 4g  64   3  ,3771000
20,    Galaxy A04s 4g  32   3  ,4411000
21,    M33 5G  128   8  ,8991000
22,    Galaxy A34 5G  128   8 ,11841000
23,    Galaxy A14 4G  128   4 ,6111000
24,    Galaxy A54 5G  256   8 ,15161000
25,    Galaxy A23 4G  64   4 -,7191000
26,    Galaxy A24 4G  128   6 ,8161000
27,    Galaxy A24 4G  128   4 ,7171000
28,    Galaxy A03 4G  64   4 ,4059000
29,    Galaxy A04s 4g  64   4  ,5011000
30,    Galaxy A24 4G  128   8 ,8675000
31,    Galaxy S22 5G ()  256   8 ,35999000
32,    Galaxy A04s 4g  128   4  ,5721000
33,    Galaxy M32 4g  128   8 ,9115000
