,phone,price
0,    Redmi Note 12 Pro plus 5G  256   8 ,16341000
1,    Redmi Note 12 4G  128   6 ,7491000
2,    Redmi 9a  32   2 ,3599000
3,    Redmi Note 12 4G  128   8 ,7791000
4,    Redmi Note 12 Pro 5G  256   8 ,12231000
5,    Xiaomi 12 Lite 5g  256   8  ,13791000
6,    Xiaomi Poco C40 4G  64   4  ,4157000
7,   Poco X5 Pro 5G  256   8 ,12991000
8,    Redmi Note 11s 4G  128   8 ,8911000
9,    Mi 11 Ultra 5G  256   12 ,37461000
10,    Redmi Note 11 4G  128   4 ,7171000
11,    Redmi Note 11SE 5g  128   8  ,7741000
12,    Xiaomi Poco M5s 4g  256   8  ,8791000
13,    Redmi Note 11 4G  128   6 ,7499000
14,    Xiaomi 12x  256   8 ,17299000
15,    Redmi 10 Power 4G  128   8 ,8181000
16,    Poco F5 5G  256   12 ,17241000
17,    Redmi Note 11 Pro 5G  128   8 ,10699000
18,    Poco X4 Pro 5G  256   8 ,12041000
19,    Redmi Note 10 Pro 4G  256   8 ,10841000
20,    Poco X5 5G  256   8 ,11149000
21,    Redmi Note 12s 4G  256   8 ,8851000
22,    Xiaomi redmi note 11E 5G  128   4  ,6939000
23,    Poco C31 4G  64   4 ,4249000
24,    Redmi 10 4G  64   4 ,4939000
25,    Xiaomi 12x  128   8 ,15221000
26,    Redmi 10a 4G  128   4  ,5091000
27,    Redmi Note 12 4G  128   4 ,7091000
28,    Redmi A2 plus 4G  64   3 ,3621000
